"TIV of arms exports from all, 2000-2019",,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions.,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than 0.5m,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,
Generated: 04 April 2020,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
UAE,,,,,3,11,17,3,,34,39,3,69,106,73,131,92,97,113,104,893
Uganda,,,,,,,,,,,,,,,,,4,,,,4
Ukraine,270,511,310,306,199,291,531,644,392,433,485,570,1501,674,622,343,486,307,195,91,9161
United Kingdom,1633,1387,1100,754,1216,1060,997,984,987,1080,1157,1055,929,1608,1651,1179,1376,1225,699,972,23049
United States,7577,5606,4947,5659,6843,6770,7521,7832,6797,6870,8033,8988,9074,7508,9608,9963,9855,12050,10414,10752,162666
Unknown supplier(s),11,21,16,5,6,42,2,0,35,16,30,3,14,10,26,11,18,14,41,22,343
Uruguay,1,,,,,,,,,,,,,,,,,,,,1
Uzbekistan,,,,252,126,4,,,,209,209,209,,,,34,68,,,,1111
Venezuela,,,,,1,,7,,3,40,,,,,,,,,,,51
Viet Nam,,,,,,,14,,,,,,,,,,,,,,14
Zimbabwe,,4,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,
Total,19337,18744,17877,19034,21350,21582,24811,26641,24142,24264,25771,30106,28169,27132,27023,28605,31267,31544,27165,27194,501758
