Supplier,Recipient,Ordered,Weapon model,Weapon category,Ordered year,Delivered year,Delivered num.,Comments,latS,longS,codeS,latR,longR,codeR
Belarus,Azerbaijan,(11),Su-25,Ground attack ac,(2009),2009-2012,11,Second-hand,53.709807,27.953389,BLR,40.143105,47.576927,AZE
Belarus,Azerbaijan,(93),T-72M1,Tank,(2010),2011-2013,(93),Second-hand,53.709807,27.953389,BLR,40.143105,47.576927,AZE
Belarus,Azerbaijan,(26),2A36 Giatsint-B 152mm,Towed gun,(2016),2017,26,Second-hand,53.709807,27.953389,BLR,40.143105,47.576927,AZE
Belarus,Azerbaijan,(10),B-200BM Polonez,Self-propelled MRL,(2017),2018,(10),,53.709807,27.953389,BLR,40.143105,47.576927,AZE
Belarus,China,5,Il-76M,Transport aircraft,(2011),2013,(5),Second-hand | incl 2 Il-76MD and 3 Il-76TD version | ordered via Russia,53.709807,27.953389,BLR,35.86166,104.195397,CHN
Belarus,Cote dIvoire,(8),Kaiman,APV,2017,2018,(8),Incl for police,53.709807,27.953389,BLR,7.539989,-5.54708,CIV
Belarus,Cote dIvoire,(2),BTR-70,APC,(2018),2018,(2),Second-hand but modernized to BTR-70MP before delivery,53.709807,27.953389,BLR,7.539989,-5.54708,CIV
Belarus,Iran,(2),Vostok-E,Air search radar,(2010),2011,(2),,53.709807,27.953389,BLR,32.427908,53.688046,IRN
Belarus,Iraq,(9),Su-25,Ground attack ac,2015,2015-2016,9,Second-hand,53.709807,27.953389,BLR,33.223191,43.679291,IRQ
Belarus,Libya HoR,4,Mi-24P/Mi-35P,Combat helicopter,2014,2015,4,Second-hand | acquired and financed via UAE,53.709807,27.953389,BLR,26.3351,17.228331,LBY
Belarus,Myanmar,(100),3M9/SA-6,SAM,(2014),2015-2016,(100),Second-hand (but modernized before delivery) | for Kvadrat-M SAM systems | supplier uncertain,53.709807,27.953389,BLR,21.913965,95.956223,MMR
Belarus,Myanmar,(2),Kvadrat-M,SAM system,2014,2016,(2),Second-hand Kvadrat SAM system rebuilt to Kvadrat-M,53.709807,27.953389,BLR,21.913965,95.956223,MMR
Belarus,Nigeria,(2),Mi-24P/Mi-35P,Combat helicopter,2009,2010,2,Second-hand,53.709807,27.953389,BLR,9.081999,8.675277,NGA
Belarus,Serbia,(4),MiG-29S,FGA aircraft,2017,2018,(4),Second-hand (but possibly modernized before delivery) | aid,53.709807,27.953389,BLR,44.016521,21.005859,SRB
Belarus,Sudan,(15),Su-25,Ground attack ac,(2007),2008-2010,15,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(4),Mi-24V/Mi-35,Combat helicopter,(2012),2013-2014,4,Second-hand | incl Mi-24R version,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(12),Su-24/Fencer,Bomber aircraft,2012,2013-2016,8,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(70),BTR-70,APC,(2014),2015-2017,70,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(3),Mi-24P/Mi-35P,Combat helicopter,(2014),2015-2016,3,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(2),Mi-8T,Transport helicopter,(2014),2014,2,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Sudan,(1),Mi-8T,Transport helicopter,(2016),2016,1,Second-hand,53.709807,27.953389,BLR,12.862807,30.217636,SDN
Belarus,Turkmenistan,(4),Caracal,Tank destroyer,2010,2011,(4),,53.709807,27.953389,BLR,38.969719,59.556278,TKM
Belarus,Turkmenistan,(10),BM-21 Grad 122mm,Self-propelled MRL,(2015),2016-2017,10,Second-hand,53.709807,27.953389,BLR,38.969719,59.556278,TKM
Belarus,Uganda,(1),Mi-24V/Mi-35,Combat helicopter,(2009),2010,1,Second-hand,53.709807,27.953389,BLR,1.373333,32.290275,UGA
Belarus,Viet Nam,(5),S-125T Pechora-2T,SAM system,(2008),2014-2016,(5),Vietnamese S-125 (SA-3) rebuilt to S-125TM Pechora-2TM,53.709807,27.953389,BLR,14.058324,108.277199,VNM
Belarus,Yemen,68,SG-1000,Gas turbine,(2009),2010-2011,(68),Second-hand (modernized in Ukraine before delivery) | spares for T-80 tanks,53.709807,27.953389,BLR,15.552727,48.516388,YEM
Belarus,Yemen,(92),T-80,Tank,(2009),2010-2012,(92),Second-hand but probably modernized before delivery | T-80B version,53.709807,27.953389,BLR,15.552727,48.516388,YEM
Belgium,Indonesia,50,CM-90 90mm,Tank turret,2016,,,For 14 Badak armoured fire support vehicles produced in Indonesia,50.503887,4.469936,BEL,-0.789275,113.921327,IDN
Belgium,Austria,7,Pandur-2,APC,2015,2015,7,Second-hand | incl 1 ambulance version,50.503887,4.469936,BEL,47.516231,14.550072,AUT
Belgium,Bahrain,45,AIFV-APC,APC,(2014),2015-2016,(45),Second-hand | designation uncertain (reported as armoured combat vehicles and M-113 Family of Vehicles),50.503887,4.469936,BEL,25.930414,50.637772,BHR
