Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Thailand,,,,,,,,,,,,,,,7,7,,93,,,,,,,,,,2,2,
Turkey,,,,,,,3,3,0,3,43,19,5,26,42,28,23,82,66,111,63,72,86,143,156,165,248,232,171,265
UAE,,2,,,,,28,6,32,,,,,,,3,11,17,3,,34,39,3,69,106,73,131,92,97,113
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Ukraine,,,,165,82,236,167,256,558,708,732,270,511,310,306,199,291,531,644,392,433,485,570,1501,674,622,343,486,307,195
United Kingdom,3548,1866,1522,1179,1421,1539,1475,1662,2384,1412,1368,1633,1387,1100,754,1216,1060,997,984,987,1080,1157,1055,929,1608,1651,1179,1376,1225,699
United States,11347,10733,12489,14118,13856,11526,11218,10878,14531,15733,11562,7577,5606,4947,5659,6843,6770,7521,7832,6797,6870,8033,8988,9074,7508,9608,9963,9855,12050,10414
Unknown supplier(s),6,10,9,3,38,53,1,75,10,3,2,11,21,16,5,6,42,2,0,35,16,30,3,14,10,26,11,18,14,41
Uruguay,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,252,126,4,,,,209,209,209,,,,34,68,,
Venezuela,,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,
Viet Nam,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,
Yugoslavia,18,80,515,32,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
