Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,CY,35.126413,33.429859,Cyprus,CYP
Czechoslovakia,17,15,15,9,49,950,1560,1576,1530,940,623,200,173,133,267,325,427,409,495,656,421,414,642,661,865,712,802,805,838,809,796,921,929,1049,1093,1021,1239,1290,1348,1053,624,417,213,202,319,143,126,24,21,57,81,88,60,64,1,70,44,32,32,23,4,10,8,40,26,150,148,88,88,13,29329,CZ,49.817492,15.472962,Czechoslovakia,CZE
Germany,0,0,0,38,29,24,24,44,25,93,173,37,163,162,477,358,713,775,574,739,1434,1364,1377,226,1219,1446,1674,1922,1686,1499,1626,1939,1528,2246,2799,1283,1412,1040,1514,1434,1933,2395,1490,1489,2843,1509,1950,939,1808,1858,1612,896,906,1652,1111,2071,2758,3292,2362,2461,2664,1317,747,779,1788,1766,2514,1982,1071,1185,87431,DE,51.165691,10.451526,Germany,DEU
Denmark,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,20,0,131,28,3,0,0,0,0,0,23,0,0,0,0,18,29,64,115,0,0,0,117,40,0,72,10,0,183,272,16,0,0,1,6,20,1,10,5,0,0,9,6,17,14,8,30,33,9,17,25,25,21,28,4,1507,DK,56.26392,9.501785,Denmark,DNK
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,DO,18.735693,-70.162651,Dominican Republic,DOM
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,DZ,28.033886,1.659626,Algeria,DZA
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,8,EC,-1.831239,-78.183406,Ecuador,ECU
Egypt,0,0,0,0,0,0,9,6,4,4,0,0,7,8,2,0,13,3,26,15,39,0,0,0,0,16,0,69,80,13,29,77,81,71,37,5,19,61,65,63,20,0,13,22,15,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,2,943,EG,26.820553,30.802498,Egypt,EGY
Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,ER,15.179384,39.782334,Eritrea,ERI
Spain,0,0,0,0,0,0,0,0,0,0,1,5,6,6,7,21,21,7,7,6,70,140,4,4,84,267,46,25,38,18,10,130,251,352,242,85,177,148,141,174,108,100,65,98,237,82,105,625,162,43,46,8,16,95,52,108,840,601,602,951,263,1429,546,728,1050,1163,471,820,1025,1061,15990,ES,40.463667,-3.74922,Spain,ESP
