,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mozambique,79.1,84.6,71.8,59.6,59.4,72.9,33.5,36.0,42.0,49.3,56.5,55.4,50.6,53.5,59.8,77.6,62.2,57.4,68.6,83.7,84.3,99.2,118.9,139.1,157.9,173.8,134.0,110.5,129.3,169.6,136.8
Namibia,xxx,. .,144.8,124.6,70.2,57.0,68.2,66.5,83.7,78.9,105.8,92.4,96.8,88.0,129.4,167.0,192.1,199.6,228.2,266.3,299.5,396.5,443.6,412.2,390.0,537.5,518.2,425.4,456.1,455.6,410.4
Niger,. .,. .,. .,. .,. .,17.5,18.4,17.4,17.3,22.0,23.6,20.1,24.8,20.7,24.6,31.6,32.8,. .,. .,53.6,53.0,66.9,83.9,148.9,106.1,145.6,. .,166.2,200.2,229.6,171.9
Nigeria,170.7,277.3,243.7,173.7,289.2,319.7,639.4,701.4,818.8,1149.7,491.7,368.6,570.6,896.9,587.5,640.0,674.2,776.1,971.3,1615.5,1504.5,1990.1,2384.9,2316.5,2418.8,2357.7,2065.6,1723.2,1621.2,2043.1,1860.3
Rwanda,41.6,95.1,105.3,88.6,89.4,40.5,56.4,73.7,77.3,87.1,80.9,61.3,56.9,51.1,45.2,41.2,45.0,54.6,55.6,67.7,75.3,74.5,75.4,79.8,82.5,90.9,103.6,107.3,115.7,119.0,121.4
Senegal,99.6,118.2,110.0,109.8,119.9,66.1,80.9,79.8,70.8,75.1,78.3,62.4,68.9,74.4,96.9,107.6,124.4,148.6,192.8,216.9,214.8,195.7,230.2,196.7,236.7,239.9,214.8,304.8,305.4,385.1,349.0
Seychelles,13.0,14.8,16.6,20.5,12.9,11.9,11.6,10.5,11.4,10.5,11.1,10.3,11.1,11.7,12.2,15.9,14.7,14.4,15.2,11.1,8.7,7.2,8.7,9.9,13.8,30.9,18.1,21.9,21.5,22.6,23.8
Sierra Leone,14.4,12.4,23.2,26.7,23.3,26.5,25.0,18.6,9.5,. .,. .,23.3,29.9,27.1,28.5,23.0,23.6,28.0,29.1,23.6,26.4,25.1,25.5,29.8,31.7,48.8,39.2,37.4,39.6,29.6,25.6
Somalia,8.6,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,26.1,60.3,46.6,47.7,61.8,77.4,78.9
South Africa,4181.9,4364.5,3874.4,3677.4,3254.3,3478.6,3292.4,2591.8,2414.1,1905.7,1738.0,1891.7,1802.3,1766.1,2574.2,3099.1,3567.0,3506.1,3525.7,3285.9,3592.7,4188.2,4594.2,4489.6,4118.2,3892.5,3488.9,3169.8,3637.7,3670.4,3465.1
South Sudan,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,xxx,551.5,588.0,896.4,609.9,650.9,1052.7,988.2,982.0,1301.5,1151.9,135.3,72.4,149.1,86.5
Sudan,. .,1177.8,1365.8,183.7,258.0,226.2,138.8,106.3,97.7,260.0,429.6,587.3,388.1,484.6,398.1,1240.8,1165.0,1647.8,2427.1,3228.0,3180.5,. .,. .,. .,. .,. .,2279.6,2748.5,4383.0,1047.9,722.3
eSwatini,8.7,14.2,16.0,21.0,23.7,25.8,28.8,26.5,25.7,25.7,25.9,24.5,19.7,18.3,31.9,42.7,59.5,58.5,61.9,66.7,75.9,102.0,106.6,90.6,86.0,81.4,73.5,80.5,87.8,90.8,87.1
Tanzania,105.3,87.2,108.1,96.9,58.7,58.4,85.5,101.0,118.6,134.3,128.5,135.1,150.7,140.8,125.3,127.6,139.5,147.4,166.2,194.0,219.5,282.7,307.5,359.7,443.4,507.3,517.1,544.2,611.2,698.9,797.7
Togo,41.9,50.7,45.9,49.1,50.1,25.4,30.9,. .,. .,. .,. .,. .,. .,. .,28.8,31.7,33.2,. .,. .,57.0,55.1,56.8,59.0,62.9,72.4,83.1,70.0,82.0,88.4,104.4,170.6
Uganda,139.8,107.0,73.6,52.3,62.6,104.1,127.0,135.4,139.6,154.7,159.7,141.3,136.2,142.2,152.4,196.0,216.7,218.5,252.1,311.9,293.5,608.7,607.1,351.8,300.1,325.7,306.1,318.6,346.8,408.4,645.8
Zambia,167.6,139.3,86.2,97.8,51.1,62.9,55.3,37.8,43.4,. .,56.1,. .,. .,. .,. .,98.3,139.5,205.9,232.3,278.1,221.0,280.2,309.1,346.3,381.3,443.6,372.4,299.5,339.7,378.0,293.3
Zimbabwe,408.6,416.3,376.1,296.4,249.8,247.9,262.9,291.7,311.4,306.0,263.4,346.3,286.7,677.0,194.8,256.1,131.4,161.7,. .,. .,. .,98.3,198.4,318.3,356.7,368.1,376.7,358.1,340.5,420.4,546.9
Belize,4.4,4.8,4.7,5.3,6.1,7.9,8.1,8.0,9.4,. .,. .,7.1,7.5,7.8,8.6,9.5,10.7,12.3,13.8,18.7,17.3,15.3,15.4,15.2,17.8,19.9,19.7,21.7,23.0,23.2,23.3
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,. .,296.9,62.0,78.6,76.6,83.4,89.1,92.5,94.3,93.7,126.9,119.4,125.6,118.4,123.7,122.6,128.6,. .
Dominican Rep.,53.5,47.8,33.9,63.1,96.0,101.0,84.4,107.0,150.7,159.1,175.0,246.8,305.9,271.7,155.8,152.9,272.2,259.2,274.8,333.5,320.9,354.9,348.6,396.2,383.4,437.6,458.0,479.7,533.1,593.7,615.4
