,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
3,Algeria,0,0,0,0,0,0,0,0,0,0,0,7,61,85,177,331,437,524,57,79,14,14,180,110,13,56,132,1077,1512,1853,1358,1280,1231,575,533,242,135,370,320,455,735,1035,20,20,182,295,83,37,98,370,408,542,249,195,242,159,340,509,1529,1075,834,1126,663,362,616,896,2899,962,1253,140,31096,DZ,28.033886,1.659626,Algeria,DZA
54,Ecuador,0,0,0,11,14,124,6,0,13,0,66,0,0,3,3,29,9,21,5,1,5,81,35,15,22,40,226,572,191,109,257,123,257,388,349,23,25,40,26,20,3,139,4,18,9,36,30,95,27,17,0,10,1,0,15,48,17,2,102,77,90,68,88,11,53,27,26,20,5,2,4149,EC,-1.831239,-78.183406,Ecuador,ECU
55,Egypt,163,57,0,1,142,698,1065,479,488,334,143,544,686,737,843,950,1533,2198,1263,1227,1673,1984,3301,2593,1099,571,165,415,135,630,1004,1182,2492,1705,1500,969,1480,1643,419,295,562,884,972,1255,2020,1716,981,1038,480,514,837,832,719,630,654,797,722,690,333,159,686,630,281,675,420,1438,1684,2406,1674,1193,66690,EG,26.820553,30.802498,Egypt,EGY
58,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,7,41,53,214,31,20,57,18,17,80,98,0,4,0,0,0,0,0,0,0,0,0,0,0,0,678,ER,15.179384,39.782334,Eritrea,ERI
209,Western Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,7,0,0,39,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,EH,24.215527,-12.885834,Western Sahara,ESH
176,Spain,1,0,0,78,89,218,274,288,136,295,231,112,55,14,60,401,277,279,128,187,237,601,751,906,580,1185,831,280,492,658,691,631,517,609,88,338,1111,1110,1958,859,709,112,212,303,858,359,427,214,85,371,328,153,277,254,315,363,315,339,349,231,288,168,224,155,109,135,86,87,138,56,25574,ES,40.463667,-3.74922,Spain,ESP
59,Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,15,17,1,12,4,1,27,0,1,13,8,20,7,19,29,43,13,1,2,18,2,18,29,33,17,30,382,EE,58.595272,25.013607,Estonia,EST
60,Ethiopia,2,19,0,6,8,1,1,16,23,6,24,4,21,27,4,14,99,30,33,24,89,54,33,5,16,58,135,1096,982,113,330,328,521,370,285,259,360,251,155,47,3,80,0,0,0,0,0,69,211,155,140,0,20,174,239,53,9,0,10,0,54,76,193,155,33,12,5,1,10,75,7545,ET,9.145,40.489673,Ethiopia,ETH
62,Finland,0,0,19,0,0,11,15,3,25,41,54,65,38,237,77,81,42,76,23,21,15,5,26,13,174,127,90,30,105,47,328,119,132,112,126,203,97,69,143,85,90,65,435,407,246,197,553,398,552,770,474,9,12,227,77,107,136,108,135,42,52,58,77,296,196,293,160,76,135,70,9324,FI,61.92411,25.748151,Finland,FIN
61,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,FJ,-16.578193,179.414413,Fiji,FJI
64,France,218,988,1144,1699,1409,1342,1285,701,1086,852,507,356,153,63,1185,255,76,93,113,101,124,141,93,116,52,45,233,250,278,64,70,101,137,103,68,15,96,84,137,107,60,944,420,91,75,97,64,223,174,110,107,66,43,57,93,2,67,74,5,76,103,48,91,107,17,42,45,76,185,102,19603,FR,46.227638,2.213749,France,FRA
119,Micronesia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,FM,7.425554,150.550812,Micronesia,FSM
65,Gabon,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,2,0,2,4,1,24,0,2,10,35,48,28,80,0,26,37,5,11,102,2,7,10,28,10,29,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,20,18,0,0,22,5,1,2,0,5,3,0,0,7,596,GA,-0.803689,11.609444,Gabon,GAB
200,United Kingdom,105,246,532,1591,512,315,126,90,545,548,29,34,38,139,118,152,216,1422,2288,2570,60,171,217,233,292,299,213,230,172,226,552,802,767,291,635,363,277,212,280,205,117,936,1132,784,414,492,568,496,741,125,871,1277,720,775,217,27,308,776,490,376,490,361,578,494,211,397,259,952,518,377,34388,GB,55.378051,-3.435973,United Kingdom,GBR
67,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,28,23,6,85,0,1,37,92,97,161,132,38,0,2,0,5,1,0,0,7,39,4,766,GE,42.315407,43.356892,Georgia,GEO
69,Ghana,0,0,0,0,0,0,0,0,0,1,12,107,20,6,40,40,24,1,0,0,0,0,12,8,19,28,39,0,18,7,38,50,0,0,0,5,0,13,0,2,4,1,0,0,11,0,7,5,0,7,1,12,1,6,35,0,0,16,0,11,2,76,39,63,14,13,22,0,0,4,842,GH,7.946527,-1.023194,Ghana,GHA
73,Guinea,0,0,0,0,0,0,0,0,0,18,33,0,0,0,0,17,0,6,0,0,1,4,4,18,24,2,18,8,45,69,0,1,1,1,0,0,40,0,0,60,1,1,0,0,0,0,0,0,4,0,18,6,0,2,0,1,0,0,0,0,4,1,4,0,6,0,0,2,0,0,421,GN,9.945587,-9.696645,Guinea,GIN
66,Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,36,GM,13.443182,-15.310139,Gambia,GMB
