,Country Name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total,country,latitude,longitude,name,code3
162,Serbia,0,182,490,525,534,334,352,229,112,285,259,175,397,624,463,549,544,693,681,586,554,486,328,163,156,565,526,594,406,763,495,440,631,577,283,355,344,329,713,331,310,140,6,2,2,8,1,13,6,1,1,27,0,0,0,0,0,0,0,0,16,0,0,0,0,0,14,65,3,171,332,RS,44.016521,21.005859,Serbia,SRB
179,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,2,0,7,0,5,2,0,0,0,0,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,66,SR,3.919305,-56.027783,Suriname,SUR
166,Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,29,208,29,0,0,0,0,0,27,0,0,4,0,0,0,9,9,0,2,5,0,0,0,47,34,36,584,SK,48.669026,19.699024,Slovakia,SVK
167,Slovenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,22,11,22,20,8,4,18,2,41,2,17,17,3,3,2,0,7,40,28,0,0,1,0,0,0,0,0,280,SI,46.151241,14.995463,Slovenia,SVN
180,Sweden,225,299,317,390,454,559,574,219,245,205,159,87,133,307,397,289,280,326,226,138,108,86,161,231,256,292,214,100,197,247,246,452,171,179,106,77,154,159,125,105,90,49,60,39,297,95,95,195,294,224,204,165,76,64,47,78,129,51,53,17,11,191,207,56,45,14,70,46,7,9,12466,SE,60.128161,18.643501,Sweden,SWE
163,Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,6,1,2,15,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,7,0,7,16,0,8,0,7,0,113,SC,-4.679574,55.491977,Seychelles,SYC
182,Syria,74,1,20,18,61,75,106,381,124,38,37,12,20,74,50,77,508,889,805,852,880,731,1497,3292,3443,1412,500,938,863,2060,1874,1348,1973,2233,1809,1575,1262,1409,1312,663,739,321,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,294,210,426,496,517,507,21,22,8,27,181,0,40101,SY,34.802075,38.996815,Syria,SYR
36,Chad,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,3,9,10,8,3,0,0,10,0,0,33,9,1,22,21,9,57,0,0,0,0,3,1,0,0,7,7,0,16,0,0,0,0,17,20,75,35,38,1,4,59,58,1,2,6,3,1,555,TD,15.454166,18.732207,Chad,TCD
189,Togo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,2,0,14,50,1,9,9,28,19,4,2,0,0,17,0,1,0,0,9,8,0,3,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,2,209,TG,8.619543,0.824782,Togo,TGO
187,Thailand,63,89,61,44,60,34,10,90,15,10,28,57,111,110,97,89,112,151,67,134,213,239,201,340,97,77,148,104,319,173,308,314,82,325,387,185,165,541,610,270,230,572,497,185,613,528,736,935,76,167,85,117,152,131,114,70,47,8,16,64,46,268,278,358,96,173,336,302,630,301,14660,TH,15.870032,100.992541,Thailand,THA
185,Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,13,7,0,34,0,0,0,3,0,0,8,19,3,3,116,TJ,38.861034,71.276093,Tajikistan,TJK
194,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,0,0,0,7,36,27,236,113,71,74,172,428,92,0,0,1293,TM,38.969719,59.556278,Turkmenistan,TKM
188,Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,14,0,0,0,0,0,0,0,0,32,TL,-8.874217,125.727539,Timor-Leste,TLS
190,Tonga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,31,TO,-21.178986,-175.198242,Tonga,TON
191,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,11,2,0,0,0,0,0,0,22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,6,0,0,24,12,12,0,0,46,30,0,0,0,194,TT,10.691803,-61.222503,Trinidad and Tobago,TTO
192,Tunisia,0,0,0,0,0,0,0,11,0,13,44,6,0,7,4,40,0,5,17,23,44,0,4,26,14,15,10,93,14,122,103,56,59,103,116,321,0,56,17,48,4,20,32,0,35,56,68,39,18,11,0,0,83,1,0,168,2,0,3,0,7,7,0,38,44,7,29,89,180,15,2344,TN,33.886917,9.537499,Tunisia,TUN
193,Turkey,117,136,315,514,473,335,198,544,630,934,592,312,300,616,835,412,330,589,420,639,391,937,1096,789,1279,639,365,299,992,919,488,732,483,478,560,690,487,1440,1644,1033,1288,1254,1888,2348,1893,1582,1505,1531,2645,1740,1185,510,905,330,257,1095,531,692,640,732,484,779,1500,796,1526,441,331,425,591,833,57239,TR,38.963745,35.243322,Turkey,TUR
195,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,TV,-7.109535,177.64933,Tuvalu,TUV
184,Taiwan,0,98,304,383,320,623,256,436,739,1009,428,108,137,320,347,464,321,473,295,581,580,347,245,329,366,342,480,800,789,546,518,789,804,728,433,646,967,598,659,365,479,663,479,1157,856,1322,1474,4799,3949,1731,573,332,298,117,319,692,504,12,11,60,97,198,424,549,1078,630,97,493,109,51,42522,TW,23.69781,120.960515,Taiwan,TWN
186,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,22,1,0,0,11,60,47,118,189,48,0,44,63,260,53,121,9,0,0,0,1,0,0,5,0,0,18,0,4,0,4,0,0,0,2,0,0,51,0,10,12,1,0,25,0,78,115,118,14,20,20,2,32,0,1584,TZ,-6.369028,34.888822,Tanzania,TZA
197,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,16,4,24,12,7,3,20,17,46,125,35,5,0,0,0,0,14,0,0,10,0,31,1,20,0,0,0,0,0,32,0,0,55,39,6,0,34,0,36,10,5,0,14,25,37,471,219,20,1,5,1,21,9,1,1433,UG,1.373333,32.290275,Uganda,UGA
198,Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,5,0,65,14,107,UA,48.379433,31.16558,Ukraine,UKR
204,Uruguay,68,3,39,3,1,2,27,21,9,0,17,0,100,0,2,8,6,0,10,12,10,16,24,6,5,3,53,2,8,9,21,100,15,17,0,8,0,0,16,41,41,63,25,18,10,9,4,19,27,7,4,0,13,0,0,20,8,3,78,29,20,0,0,3,9,8,0,0,10,1,1113,UY,-32.522779,-55.765835,Uruguay,URY
202,United States,352,702,882,1322,2467,1892,2071,1371,701,645,221,238,264,323,326,190,109,84,70,70,46,589,781,666,594,395,499,387,371,253,380,531,248,463,381,655,420,1992,1787,1784,357,519,551,988,982,788,580,588,264,222,334,493,504,602,570,529,639,829,960,974,1083,1004,1203,789,548,516,458,524,380,1048,47345,US,37.09024,-95.712891,United States,USA
205,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,30,0,0,0,17,100,56,0,131,53,404,UZ,41.377491,64.585262,Uzbekistan,UZB
207,Venezuela,61,0,25,195,135,66,406,285,120,7,62,30,32,37,2,0,37,236,20,8,15,119,164,395,251,229,176,221,59,15,370,920,704,242,230,517,92,73,101,117,187,316,74,39,1,5,35,37,8,85,108,103,50,15,9,21,380,774,737,358,208,596,687,993,181,167,137,0,0,0,13083,VE,6.42375,-66.58973,Venezuela,VEN
208,Viet Nam,0,0,0,0,55,80,124,78,51,79,146,206,212,238,328,782,1308,1342,1438,1446,1839,2134,3835,1918,1197,485,42,42,227,1257,1025,1085,529,913,554,28,78,50,65,128,116,0,0,0,0,281,212,110,220,163,7,99,58,22,298,221,42,8,187,61,152,1021,788,362,1218,862,858,755,577,161,26891,VN,14.058324,108.277199,Viet Nam,VNM
206,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,VU,-15.376706,166.959158,Vanuatu,VUT
159,Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,WS,-13.759029,-172.104629,Samoa,WSM
95,Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,XK,42.602636,20.902977,Kosovo,XKX
210,Yemen,0,0,4,0,0,1,0,60,25,8,0,23,0,0,0,0,0,29,40,69,17,49,112,83,77,21,0,21,69,1853,1930,651,86,108,169,153,74,89,92,45,78,113,0,0,4,171,0,0,1,51,158,85,593,62,252,315,38,66,40,5,258,45,38,23,6,33,7,6,9,0,2456,YE,15.552727,48.516388,Yemen,YEM
170,South Africa,37,73,183,53,49,106,270,173,169,68,13,0,215,476,266,353,468,260,179,173,474,272,227,316,184,223,415,507,390,130,200,122,49,226,127,29,211,16,7,13,13,27,363,244,239,38,38,11,0,21,6,18,0,0,0,267,785,954,493,134,180,212,132,2,50,2,0,0,0,0,11949,ZA,-30.559482,22.937506,South Africa,ZAF
212,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,17,0,0,7,4,166,29,19,9,48,109,34,42,4,136,216,48,13,18,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,33,0,2,0,0,0,28,4,2,0,0,1,66,0,0,14,43,44,0,38,1220,ZM,-13.133897,27.849332,Zambia,ZMB
213,Zimbabwe,1,11,2,8,36,27,8,0,61,0,15,0,16,20,0,0,0,16,0,0,0,2,11,0,2,31,16,4,13,0,0,15,80,34,26,28,212,29,2,0,2,42,60,0,0,0,0,0,1,25,3,10,0,16,13,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,946,ZW,-19.015438,29.154857,Zimbabwe,ZWE
203,Unknown recipient(s),0,0,0,0,0,0,0,0,0,10,10,18,38,67,76,76,58,58,58,58,18,10,10,5,5,0,0,0,0,0,30,85,85,86,86,86,86,86,86,41,0,11,11,18,4,8,3,0,4,0,0,2,0,0,0,0,0,0,12,0,8,6,0,29,30,13,36,17,26,41,1607,ZZ,30.602278,-44.134617,Unknown recipient(s),ZZZ
